업체명,물품분류명,계약유형,금액
주식회사 새움,상자,제3자단가계약,1882000
주식회사 새움,네트워크스위치,제3자단가계약,17500000
주식회사 새움,카메라받침대,제3자단가계약,7344000
주식회사 새움,광분배함,제3자단가계약,952000
주식회사 새움,광분배함,제3자단가계약,328600
주식회사 새움,광분배함,제3자단가계약,0
주식회사 새움,광송신기또는수신기,제3자단가계약,1664000
주식회사 새움,영상정보디스플레이장치,제3자단가계약,8937000
주식회사 새움,카메라받침대,제3자단가계약,0
주식회사 새움,안내판,제3자단가계약,8635600
주식회사 새움,서지방지장치,제3자단가계약,1060740
주식회사 새움,광섬유케이블어셈블리,제3자단가계약,279040
주식회사 새움,전력케이블,제3자단가계약,1380000
주식회사 새움,네트워크케이블,제3자단가계약,2329000
주식회사 새움,옥외광섬유케이블,제3자단가계약,15802500
주식회사 새움,정보통신공사,제3자단가계약,16758000
주식회사 새움,정보통신공사,제3자단가계약,19001500
주식회사 새움,전선관,제3자단가계약,6504000
주식회사 새움,전기함,제3자단가계약,2135360
주식회사 새움,정보통신공사,제3자단가계약,1103680
주식회사 새움,정보통신공사,제3자단가계약,3995200
주식회사 새움,정보통신공사,제3자단가계약,3512320
주식회사 포딕스시스템,정보통신공사,제3자단가계약,1655520
주식회사 포딕스시스템,정보통신공사,제3자단가계약,1997600
주식회사 포딕스시스템,정보통신공사,제3자단가계약,1756160
주식회사 포딕스시스템,영상감시장치,제3자단가계약,0
주식회사 포딕스시스템,보안용카메라,제3자단가계약,1004000
주식회사 포딕스시스템,보안용카메라,제3자단가계약,1283000
주식회사 포딕스시스템,하드디스크드라이브,제3자단가계약,0
주식회사센텍,영상감시장치,제3자단가계약,6738000
주식회사센텍,보안용카메라,제3자단가계약,40644000
주식회사센텍,하드디스크드라이브,제3자단가계약,3361200
주식회사센텍,네트워크스위치,제3자단가계약,5400000
주식회사센텍,디지털비디오레코더,제3자단가계약,9072000
주식회사센텍,광분배함,제3자단가계약,50000
주식회사센텍,광분배함,제3자단가계약,130000
주식회사센텍,광송신기또는수신기,제3자단가계약,72000
주식회사센텍,상자,제3자단가계약,2030000
주식회사센텍,누전차단기,제3자단가계약,378000
주식회사센텍,서지방지장치,제3자단가계약,364800
주식회사센텍,상자,제3자단가계약,2691000
주식회사센텍,LCD패널또는모니터,제3자단가계약,245000
주식회사센텍,광섬유케이블어셈블리,제3자단가계약,40000
주식회사센텍,카메라받침대,제3자단가계약,0
주식회사 새움,LCD패널또는모니터,제3자단가계약,0
주식회사 그린아이티코리아,영상감시장치,제3자단가계약,2570000
주식회사 그린아이티코리아,광송신기또는수신기,제3자단가계약,108000
주식회사 그린아이티코리아,광섬유케이블어셈블리,제3자단가계약,66000
주식회사 그린아이티코리아,네트워크시스템장비용랙,제3자단가계약,52000
주식회사 그린아이티코리아,네트워크시스템장비용랙,제3자단가계약,727000
주식회사 그린아이티코리아,LCD패널또는모니터,제3자단가계약,818000
주식회사 그린아이티코리아,송수신기및미디어컨버터,제3자단가계약,354000
주식회사 그린아이티코리아,서지방지장치,제3자단가계약,182000
주식회사 그린아이티코리아,하드디스크드라이브,제3자단가계약,6536000
주식회사 그린아이티코리아,보안용카메라,제3자단가계약,44931000
주식회사 그린아이티코리아,누전차단기,제3자단가계약,720000
주식회사 그린아이티코리아,디지털비디오레코더,제3자단가계약,13321000
주식회사 그린아이티코리아,네트워크스위치,제3자단가계약,5160000
주식회사 그린아이티코리아,네트워크스위치,제3자단가계약,3440000
주식회사 그린아이티코리아,전원공급장치,제3자단가계약,739000
주식회사 그린아이티코리아,안내판,제3자단가계약,481250
주식회사 그린아이티코리아,LCD패널또는모니터,제3자단가계약,821000
주식회사 그린아이티코리아,광분배함,제3자단가계약,174000
주식회사 그린아이티코리아,광분배함,제3자단가계약,86000
주식회사 비알인포텍,영상감시장치,제3자단가계약,12184000
주식회사 비알인포텍,보안용카메라,제3자단가계약,30720000
주식회사 비알인포텍,네트워크스위치,제3자단가계약,2460000
주식회사 비알인포텍,전원공급장치,제3자단가계약,0
주식회사 비알인포텍,상자,제3자단가계약,4964000
주식회사 두원전자통신,영상감시장치,제3자단가계약,9672000
주식회사 두원전자통신,카메라받침대,제3자단가계약,90000
주식회사 두원전자통신,누전차단기,제3자단가계약,74000
주식회사 두원전자통신,서지방지장치,제3자단가계약,362000
주식회사 두원전자통신,서지방지장치,제3자단가계약,210000
주식회사 두원전자통신,네트워크스위치,제3자단가계약,1545000
주식회사 두원전자통신,네트워크스위치,제3자단가계약,372000
주식회사 두원전자통신,광섬유케이블어셈블리,제3자단가계약,60000
주식회사 시큐인포,금속기둥,제3자단가계약,0
주식회사 시큐인포,영상감시장치,제3자단가계약,791000
주식회사 시큐인포,하드디스크드라이브,제3자단가계약,393000
주식회사 시큐인포,네트워크스위치,제3자단가계약,554000
주식회사 시큐인포,전원공급장치,제3자단가계약,548000
주식회사 시큐인포,카메라받침대,제3자단가계약,803000
주식회사 시큐인포,카메라받침대,제3자단가계약,0
주식회사 비알인포텍,영상감시장치,제3자단가계약,2481000
주식회사 비알인포텍,영상감시장치,제3자단가계약,4577000
주식회사 비알인포텍,네트워크스위치,제3자단가계약,1850000
주식회사 비알인포텍,하드디스크드라이브,제3자단가계약,1938000
주식회사 비알인포텍,네트워크시스템장비용랙,제3자단가계약,830000
주식회사 비알인포텍,카메라받침대,제3자단가계약,197000
주식회사 비알인포텍,LCD패널또는모니터,제3자단가계약,315900
주식회사 비알인포텍,안내판,제3자단가계약,431780
주식회사 비알인포텍,서지방지장치,제3자단가계약,1461720
주식회사 비알인포텍,전기함,제3자단가계약,400380
주식회사 명광,보안용카메라,제3자단가계약,0
주식회사 명광,보안용카메라,제3자단가계약,0
주식회사 명광,보안용카메라,제3자단가계약,0
주식회사 명광,보안용카메라,제3자단가계약,0
주식회사 명광,전기함,제3자단가계약,0
주식회사 명광,카메라받침대,제3자단가계약,0
주식회사 명광,보안용카메라,제3자단가계약,0
주식회사 명광,영상감시장치,제3자단가계약,0
주식회사 다누시스,영상정보디스플레이장치,제3자단가계약,0
주식회사 다누시스,메모리모듈카드,제3자단가계약,0
