사업자등록번호,업체명,물품분류명,납품요구번호,일자,월,전체계약금액,영상감시장치_계약금액,영상감시여부,MAS여부,계약종류_상세
1138645971,주식회사 포딕스시스템,광분배함,R25TB00998814,20260130,1월,-22824000.0,-22824000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,카메라브래킷,R25TB00998814,20260130,1월,-22824000.0,-22824000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,영상감시장치,R25TB00998814,20260130,1월,-22824000.0,-22824000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,디지털비디오레코더,R25TB00998814,20260130,1월,-19316000.0,-19316000.0,Y,N,우수조달/일반경쟁
1138618789,이노뎁(주),통신소프트웨어,R25TB01143092,20260106,1월,-880000.0,-880000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,영상감시장치,R25TB01143587,20260130,1월,-24000000.0,-24000000.0,Y,N,우수조달/일반경쟁
1388195849,주식회사 에스카,컴퓨터서버,R25TB01143587,20260130,1월,-24000000.0,-24000000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,컴퓨터망전환장치,R25TB01143587,20260130,1월,-24000000.0,-24000000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,안내전광판,R25TB01143587,20260130,1월,-24000000.0,-24000000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,누전차단기,R25TB01143587,20260130,1월,-24000000.0,-24000000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,보안용카메라,R25TB01143587,20260130,1월,-24000000.0,-24000000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,보행자안전차단기,R25TB01143587,20260130,1월,-24000000.0,-24000000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,하드디스크드라이브,R25TB01143587,20260130,1월,-24000000.0,-24000000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,네트워크스위치,R25TB01143587,20260130,1월,-24000000.0,-24000000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,영상감시장치,R25TB01143587,20260130,1월,-1842000.0,-1842000.0,Y,N,우수조달/일반경쟁
1388195849,주식회사 에스카,컴퓨터서버,R25TB01143587,20260130,1월,-14121000.0,-14121000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,컴퓨터망전환장치,R25TB01143587,20260130,1월,-1956000.0,-1956000.0,Y,Y,MAS (자동추론)
